draft_id,player_name,draft_season,round_number,round_pick,overall_pick,team_id,team_city,team_name,team_abbreviation,organization,organization_type,position,height_wo_shoes,height_wo_shoes_ft_in,height_w_shoes,height_w_shoes_ft_in,weight,wingspan,wingspan_ft_in,standing_reach,standing_reach_ft_in,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,modified_lane_agility_time,three_quarter_sprint
2730,Dwight Howard,2004,1,1,1,1610612753,Orlando,Magic,ORL,Southwest Atlanta Christian Academy,[High School],PF-C,81.0,6' 9'',82.25,6' 10.25'',240.0,88.5,7' 4.5'',111.5,9' 3.5'',10.5,0.0,0.0,30.5,35.5,11.21,0.0,3.14
2731,Emeka Okafor,2004,1,2,2,1610612766,Charlotte,Bobcats,CHA,Connecticut,[College/University],C-PF,80.75,6' 8.75'',82.0,6' 10'',257.0,88.0,7' 4'',110.5,9' 2.5'',5.3,0.0,0.0,31.5,34.0,12.32,0.0,3.15
2732,Ben Gordon,2004,1,3,3,1610612741,Chicago,Bulls,CHI,Connecticut,[College/University],PG-SG,73.0,6' 1'',74.25,6' 2.25'',192.0,80.5,6' 8.5'',99.0,8' 3'',5.3,0.0,0.0,31.5,37.5,11.28,0.0,3.19
2733,Shaun Livingston,2004,1,4,4,1610612746,Los Angeles,Clippers,LAC,Peoria,[High School],PG-SG,78.25,6' 6.25'',79.5,6' 7.5'',186.0,83.0,6' 11'',105.5,8' 9.5'',6.7,0.0,0.0,26.5,30.0,10.72,0.0,3.23
2734,Devin Harris,2004,1,5,5,1610612764,Washington,Wizards,WAS,Wisconsin,[College/University],PG,73.75,6' 1.75'',75.0,6' 3'',170.0,79.5,6' 7.5'',98.5,8' 2.5'',5.3,0.0,0.0,30.5,37.0,11.03,0.0,3.19
2735,Josh Childress,2004,1,6,6,1610612737,Atlanta,Hawks,ATL,Stanford,[College/University],SG-SF,77.75,6' 5.75'',79.25,6' 7.25'',196.0,83.0,6' 11'',105.0,8' 9'',9.3,0.0,0.0,29.0,36.0,11.95,0.0,3.38
2736,Luol Deng,2004,1,7,7,1610612756,Phoenix,Suns,PHX,Duke,[College/University],SF,79.0,6' 7'',80.0,6' 8'',220.0,84.5,7' 0.5'',108.5,9' 0.5'',6.7,0.0,0.0,27.5,31.5,11.46,0.0,3.34
2738,Andre Iguodala,2004,1,9,9,1610612755,Philadelphia,76ers,PHI,Arizona,[College/University],SG-SF,77.75,6' 5.75'',78.75,6' 6.75'',217.0,83.0,6' 11'',105.5,8' 9.5'',6.7,0.0,0.0,30.5,34.5,11.17,0.0,3.18
2739,Luke Jackson,2004,1,10,10,1610612739,Cleveland,Cavaliers,CLE,Oregon,[College/University],SF-SG,78.0,6' 6'',79.0,6' 7'',212.0,80.5,6' 8.5'',103.0,8' 7'',8.0,0.0,0.0,26.5,36.0,11.1,0.0,3.24
2740,Andris Biedrins,2004,1,11,11,1610612744,Golden State,Warriors,GSW,BK Skonto (Latvia),[Other Team/Club],C,0.0,0,0.0,0,0.0,0.0,0,0.0,0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
