primary_key_composed,player_id,player_name,position,age,team_abbreviation,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season_id
1471_2021_MIA,1471,Precious Achiuwa,PF,21,MIA,28,2,14.6,2.6,4.4,0.59,0.0,0.0,0.0,2.6,4.4,0.59,0.59,1.3,2.4,0.561,1.3,2.7,4.0,0.6,0.4,0.5,1.0,1.9,6.5,2021
2_2021_MIL,2,Jaylen Adams,PG,24,MIL,6,0,2.8,0.2,1.3,0.125,0.0,0.3,0.0,0.2,1.0,0.167,0.125,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.0,0.0,0.0,0.2,0.3,2021
1274_2021_NOP,1274,Steven Adams,C,27,NOP,27,27,28.1,3.5,5.8,0.603,0.0,0.0,0.0,3.5,5.7,0.606,0.603,1.1,2.3,0.468,4.3,4.6,8.9,2.1,1.0,0.6,1.7,1.9,8.0,2021
1243_2021_MIA,1243,Bam Adebayo,C,23,MIA,26,26,33.6,7.4,12.9,0.573,0.1,0.2,0.4,7.3,12.7,0.576,0.576,5.1,6.0,0.841,1.9,7.3,9.2,5.3,1.0,1.0,3.0,2.6,19.9,2021
494_2021_SAS,494,LaMarcus Aldridge,C,35,SAS,18,18,26.7,5.9,12.5,0.476,1.3,3.7,0.358,4.6,8.8,0.525,0.529,0.9,1.2,0.762,0.8,3.5,4.3,1.9,0.4,0.9,0.9,1.5,14.1,2021
6_2021_PHO,6,Ty-Shon Alexander,SG,22,PHO,3,0,2.7,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0,2021
1402_2021_NOP,1402,Nickeil Alexander-Walker,SG,22,NOP,23,3,19.2,3.3,8.2,0.41,1.0,3.8,0.276,2.3,4.4,0.525,0.473,1.1,1.4,0.781,0.2,2.4,2.7,2.0,1.1,0.3,1.3,1.7,8.8,2021
1341_2021_MEM,1341,Grayson Allen,SG,25,MEM,19,8,23.9,3.2,7.4,0.429,2.3,5.3,0.436,0.8,2.1,0.41,0.586,1.7,1.9,0.892,0.4,2.5,2.9,2.1,1.0,0.2,1.1,1.3,10.4,2021
1265_2021_BRK,1265,Jarrett Allen,C,22,BRK,12,5,26.7,3.7,5.4,0.677,0.0,0.0,0.0,3.7,5.4,0.677,0.677,3.8,5.1,0.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2,2021
1265_2021_CLE,1265,Jarrett Allen,C,22,CLE,16,5,25.9,4.9,7.8,0.624,0.1,0.3,0.25,4.8,7.6,0.636,0.628,3.4,4.4,0.761,2.8,5.2,7.9,1.6,0.4,1.7,1.3,1.4,13.2,2021
11_2021_ORL,11,Al-Farouq Aminu,PF,30,ORL,2,0,8.0,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,1.5,0.0,1.0,0.0,0.5,1.5,2.0,1.0,0.0,0.0,1.0,0.0,1.5,2021
1344_2021_MEM,1344,Kyle Anderson,PF,27,MEM,24,24,28.1,5.0,10.7,0.467,1.7,4.3,0.388,3.3,6.4,0.519,0.545,2.1,2.7,0.781,0.9,5.3,6.3,3.8,1.1,0.8,1.4,1.8,13.8,2021
1213_2021_MIL,1213,Giannis Antetokounmpo,PF,26,MIL,27,27,33.6,10.3,18.4,0.563,1.1,4.0,0.29,9.2,14.4,0.638,0.594,6.4,9.9,0.642,1.7,9.7,11.4,5.8,1.3,1.3,3.7,3.1,28.2,2021
14_2021_LAL,14,Kostas Antetokounmpo,PF,23,LAL,1,0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,2021
1542_2021_MIL,1542,Thanasis Antetokounmpo,SF,28,MIL,18,0,8.3,0.9,1.4,0.654,0.1,0.4,0.286,0.8,1.1,0.789,0.692,0.2,0.4,0.571,0.7,1.0,1.7,0.8,0.3,0.2,0.8,1.4,2.2,2021
505_2021_POR,505,Carmelo Anthony,PF,36,POR,27,3,25.3,4.6,11.7,0.396,1.7,4.5,0.377,2.9,7.2,0.407,0.468,2.4,2.8,0.842,0.6,2.9,3.5,1.3,0.8,0.8,0.9,2.1,13.3,2021
1439_2021_ORL,1439,Cole Anthony,PG,20,ORL,25,17,26.7,4.0,10.8,0.375,1.1,3.3,0.325,3.0,7.4,0.398,0.426,1.8,2.2,0.836,0.8,3.6,4.4,3.8,0.7,0.4,2.0,2.0,11.0,2021
1276_2021_TOR,1276,OG Anunoby,SF,23,TOR,18,18,34.4,5.1,10.3,0.489,2.4,5.7,0.431,2.6,4.7,0.56,0.608,2.0,2.7,0.75,1.6,4.3,5.9,1.6,2.0,0.6,1.7,2.9,14.6,2021
1549_2021_CHI,1549,Ryan Arcidiacono,PG,26,CHI,11,0,9.7,0.8,2.2,0.375,0.5,1.5,0.375,0.3,0.7,0.375,0.5,0.4,0.5,0.8,0.1,1.9,2.0,1.5,0.3,0.0,0.2,0.9,2.5,2021
511_2021_MIL,511,D.J. Augustin,PG,33,MIL,27,0,17.8,1.7,5.1,0.336,1.2,3.3,0.364,0.5,1.8,0.286,0.453,1.3,1.4,0.895,0.4,0.8,1.2,3.0,0.5,0.0,0.8,0.7,5.9,2021
1404_2021_WAS,1404,Deni Avdija,SF,20,WAS,22,16,22.9,2.5,6.0,0.424,1.2,3.5,0.355,1.3,2.5,0.518,0.527,0.5,0.9,0.579,0.5,4.4,4.9,1.6,0.8,0.2,0.8,2.8,6.8,2021
1240_2021_PHO,1240,Deandre Ayton,C,22,PHO,27,27,32.1,6.1,10.3,0.59,0.1,0.6,0.25,5.9,9.7,0.611,0.597,1.6,2.3,0.721,3.7,8.6,12.2,1.8,0.3,1.0,2.1,3.4,13.9,2021
1506_2021_UTA,1506,Udoka Azubuike,C,21,UTA,12,0,4.1,0.3,0.6,0.571,0.0,0.0,0.0,0.3,0.6,0.571,0.571,0.3,0.5,0.667,0.3,0.8,1.1,0.0,0.1,0.3,0.3,0.7,1.0,2021
24_2021_ORL,24,Dwayne Bacon,SG,25,ORL,29,20,24.9,4.1,9.6,0.423,1.1,2.9,0.373,3.0,6.8,0.444,0.478,1.5,1.9,0.8,0.4,2.7,3.1,1.0,0.8,0.1,0.7,1.7,10.7,2021
517_2021_SAC,517,Marvin Bagley III,PF,21,SAC,25,25,24.9,5.1,10.8,0.476,1.0,2.8,0.371,4.1,8.0,0.513,0.524,1.5,2.9,0.514,2.1,5.3,7.4,0.9,0.5,0.5,1.5,2.5,12.8,2021
1347_2021_CHO,1347,LaMelo Ball,PG,19,CHO,28,8,27.7,5.4,12.4,0.437,1.8,5.1,0.354,3.6,7.3,0.495,0.51,2.0,2.5,0.797,1.5,4.6,6.2,6.1,1.5,0.4,2.7,2.6,14.6,2021
519_2021_NOP,519,Lonzo Ball,PG,23,NOP,25,25,30.9,5.2,12.2,0.424,2.9,7.6,0.381,2.3,4.6,0.496,0.543,0.8,1.1,0.741,0.6,3.7,4.3,4.7,1.2,0.5,2.0,2.5,14.0,2021
1323_2021_ORL,1323,Mo Bamba,C,22,ORL,13,0,8.7,2.2,4.2,0.519,0.3,1.2,0.267,1.8,3.0,0.615,0.556,0.2,0.4,0.6,1.2,2.5,3.8,0.3,0.2,0.8,0.3,1.1,4.8,2021
1514_2021_MEM,1514,Desmond Bane,SG,22,MEM,20,2,22.8,3.8,7.8,0.484,2.1,4.3,0.482,1.7,3.5,0.486,0.616,0.7,0.9,0.824,0.5,2.2,2.7,1.6,0.7,0.2,1.2,1.9,10.3,2021
1271_2021_SAC,1271,Harrison Barnes,PF,28,SAC,27,27,35.1,5.3,11.0,0.48,1.7,4.3,0.388,3.6,6.7,0.539,0.556,3.6,4.3,0.843,1.1,5.1,6.2,3.4,0.8,0.2,1.4,1.1,15.8,2021
1317_2021_NYK,1317,RJ Barrett,SG,20,NYK,30,30,33.7,6.2,14.6,0.428,1.0,3.4,0.304,5.2,11.2,0.466,0.463,3.0,4.0,0.742,1.3,4.9,6.2,3.1,0.7,0.2,1.9,2.5,16.5,2021
